10X264    Bronx Academy for Software Engineering (BASE)
10X268    Kingsbridge International High School
10X279    P.S. 279 Captain Manuel Rivera, Jr.
10X280    P.S./M.S. 280 Mosholu Parkway
10X284    Bronx School of Law and Finance
10X291    P.S. 291
10X306    P.S. 306
10X307    Luisa Pineiro Fuentes School of Science and Discovery
10X308    Bronx Dance Academy School
10X310    P.S. 310 Marble Hill
10X315    P.S. 315 Lab School
10X319    Providing Urban Learners Success In Education High School
10X331    The Bronx School of Young Leaders
10X340    P.S. 340
10X342    International School for Liberal Arts
10X344    Ampark Neighborhood
10X351    Bronx Collaborative High School
10X353    World View High School
10X360    P.S. 360
10X363    Academy For Personal Leadership And Excellence
10X368    In-Tech Academy (M.S. / High School 368)
10X374    Knowledge and Power Preparatory Academy International High School (Kappa)
10X382    Elementary School for Math, Science, and Technology
10X386    School for Environmental Citizenship
10X390    M.S. 390
10X391    The Angelo Patri Middle School
10X396    P.S. 396
10X397    English Language Learners and International Support Preparatory Academy (ELLIS)
10X433    High School for Teaching and the Professions
10X434    Belmont Preparatory High School
10X437    Fordham High School for the Arts
10X438    Fordham Leadership Academy for Business and Technology
10X439    Bronx High School for Law and Community Service
10X440    DeWitt Clinton High School
10X442    Celia Cruz Bronx High School of Music, The
10X445    Bronx High School of Science
10X447    Creston Academy
10X459    East Fordham Academy for the Arts
10X477    Marble Hill High School for International Studies
10X524    Crotona International High School
10X535    Rose Hill Pre-K Center
10X546    Bronx Theatre High School
10X549    Discovery High School
10X565    High School for Energy and Technology
10X696    High School of American Studies at Lehman College
11X016    P.S. 016 Wakefield
11X019    P.S. 019 Judith K. Weiss
11X021    P.S. 021 Philip H. Sheridan
11X041    P.S. 041 Gun Hill Road
11X068    P.S. 068 Bronx
11X076    P.S. 076 The Bennington School
11X078    P.S. 078 Anne Hutchinson
11X083    P.S. 083 Donald Hertz
11X087    P.S. 087 Bronx
11X089    P.S. 089 Bronx
11X096    P.S. 096 Richard Rodgers
11X097    P.S. 097 Bronx
11X103    P.S. 103 Hector Fontanez
11X105    P.S. 105 Sen Abraham Bernstein
11X106    P.S. 106 Parkchester
11X108    P.S. 108 Philip J. Abinanti
11X111    P.S. 111 Seton Falls
11X112    P.S. 112 Bronxwood
11X121    P.S. 121 Throop
11X127    J.H.S. 127 The Castle Hill
11X144    J.H.S. 144 Michelangelo
11X153    P.S. 153 Helen Keller
11X160    P.S. 160 Walt Disney
11X169    Baychester Academy
11X175    P.S. 175 City Island
11X178    P.S. 178 - Dr. Selman Waksman
11X180    M.S. 180 Dr. Daniel Hale Williams
11X181    I.S. 181 Pablo Casals
11X189    Cornerstone Academy for Social Action
11X194    P.S./M.S. 194
11X249    Bronx Health Sciences High School
11X253    Bronx High School for Writing and Communication Arts
11X265    Bronx Lab School
11X270    Academy for Scholarship and Entrepreneurship: A College Board School
11X275    High School of Computers and Technology
11X287    North Bronx School of Empowerment
11X288    Collegiate Institute for Math and Science
11X289    The Young Scholars Academy of The Bronx
11X290    Bronx Academy of Health Careers
11X299    Astor Collegiate Academy
11X326    Bronx Green Middle School
11X355    Bronx Alliance Middle School
11X357    Young Voices Academy of the Bronx
11X370    Leaders of Tomorrow
11X418    Bronx High School for the Visual Arts
11X455    Harry S Truman High School
11X462    Cornerstone Academy for Social Action Middle School (CASA)
11X468    Pelham Academy of Academics and Community Engagement
11X481    The STEAM Bridge School
11X483    The Matilda Avenue School
11X498    P.S./M.S. 11X498 - VAN NEST ACADEMY
11X508    Bronxdale High School
11X509    High School of Language and Innovation
11X513    New World High School
11X514    The Bronxwood Preparatory Academy
11X529    One World Middle School at Edenwald
11X532    Baychester Middle School
11X534    District 11 Pre-K Center
11X542    Pelham Preparatory Academy
11X544    High School for Contemporary Arts
11X545    Bronx Aerospace High School
11X556    Bronx Park Middle School
11X566    Pelham Gardens Middle School
11X567    Linden Tree Elementary School
12X006    P.S. 006 West Farms
12X044    P.S. 044 David C. Farragut
12X047    P.S. 047 John Randolph
12X057    P.S. 057 Crescent
12X061    P.S. 061 Francisco Oller
12X066    P.S. 066 School of Higher Expectations
12X067    P.S. 067 Mohegan School
12X092    P.S. 092 Bronx
12X098    J.H.S. 098 Herman Ridder
12X129    M.S. 129 Academy for Independent Learning and Leadership
12X134    P.S. 134 George F. Bristow
12X150    P.S. 150 Charles James Fox
12X190    E.S.M.T- I.S. 190
12X195    P.S. 195
